Dam_Name,ShortID,NID,GRanD_ID,IsSite,IsUSBR,IsUSACE,IsGRanD,State,OwnerTypes,PrimaryPur,IsRiverMth,delta,IsLock,yrc,yrr,yrc_source,MaxStor_m3,StorSource,Dam_Len_m,DamH_m,Longitude,Latitude,COMID,Hydroseq,DivDASqKM,Moved,FromDam,ToDam,flag,flagTerm,flagHW,countryOut,SiteTag,GRanDTag,RiverTag,DeltaTag
Wet Ravine Dam,341114.0,NV10487,,0.0,0.0,0.0,0.0,Nevada,Private,Irrigation,0.0,0.0,0.0,0.0,,,30837.0,NID,121.92,6.7056,-119.984815782,39.6364098227,20300809,10001967.0,10.0323,0.0,,,"[2, 9, 1]",1,1,0,0,0,0,0
Marina Lagoon,289740.0,CA01429,,0.0,0.0,0.0,0.0,California,Local Government,Flood Risk Reduction,0.0,0.0,0.0,1953.0,,NID,1973568.0,NID,106.68,5.1816,-122.293107187,37.567966675,2804517,10002205.0,7.8147,0.0,,,"[10, 9]",1,1,42,0,0,0,0
SacramentoRiver,-1.0,MOUTH_SacR,,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,1700.0,0.0,,0.0,,0.0,0.0,-121.793538902,38.0629530123,15048261,10002293.0,66999.6423,1.0,"[np.float64(288955.0), np.float64(289838.0), np.float64(289932.0), np.float64(289630.0), np.float64(289107.0), np.float64(289608.0), np.float64(289930.0), np.float64(288915.0), np.float64(438666.0), np.float64(289615.0), np.float64(288976.0), np.float64(289424.0), np.float64(289340.0), np.float64(288909.0), np.float64(289646.0), np.float64(289823.0), np.float64(289840.0), np.float64(289428.0), np.float64(31840.0), np.float64(289792.0), np.float64(84090.0), np.float64(289350.0), np.float64(289732.0), np.float64(126917.0), np.float64(37429.0), np.float64(289666.0), np.float64(289423.0), np.float64(289517.0), np.float64(126903.0), np.float64(37879.0), np.float64(31856.0), np.float64(126901.0), np.float64(289693.0), np.float64(288783.0), np.float64(289862.0)]",,[10],1,0,42,0,0,0,0
SanJoaquinRiver,-2.0,MOUTH_SJR,,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,1700.0,0.0,,0.0,,0.0,0.0,-121.759992594,38.0272618446,1889834,10002310.0,41955.6159,1.0,"[np.float64(289303.0), np.float64(289764.0), np.float64(288769.0), np.float64(289822.0), np.float64(288896.0), np.float64(289709.0), np.float64(289305.0), np.float64(289304.0), np.float64(289669.0), np.float64(289194.0), np.float64(289675.0), np.float64(289460.0), np.float64(289654.0), np.float64(288907.0), np.float64(289162.0), np.float64(289150.0), np.float64(289314.0), np.float64(289152.0), np.float64(289166.0), np.float64(289232.0), np.float64(289453.0), np.float64(289800.0), np.float64(289225.0), np.float64(289157.0), np.float64(126873.0), np.float64(31868.0), np.float64(37772.0), np.float64(289828.0), np.float64(289815.0), np.float64(289699.0), np.float64(288892.0), np.float64(289614.0), np.float64(288918.0), np.float64(374426.0), np.float64(126870.0), np.float64(126869.0), np.float64(84283.0), np.float64(126871.0), np.float64(37940.0), np.float64(37913.0), np.float64(1206.0), np.float64(289231.0), np.float64(1208.0), np.float64(289146.0), np.float64(288917.0), np.float64(37448.0), np.float64(289761.0), np.float64(288895.0), np.float64(288906.0), np.float64(289927.0), np.float64(84477.0)]",,[10],1,0,42,0,0,0,0
KlamathRiver,-31.0,MOUTH_Klamath,,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,1700.0,0.0,,0.0,,0.0,0.0,-124.079751843,41.5461414201,4438382,10003026.0,34774.0911,1.0,"[np.float64(289941.0), np.float64(289867.0), np.float64(289829.0), np.float64(289638.0), np.float64(126948.0), np.float64(36971.0), np.float64(289551.0), np.float64(126897.0), np.float64(37027.0)]",,[10],1,0,42,0,0,0,0
Clifton Court Forebay,84477.0,CA00050,206.0,0.0,0.0,0.0,1.0,California,State,Other,0.0,0.0,0.0,1970.0,,NID,35770920.0,NID,11887.2,10.3632,-121.574039059,37.8636696325,1897550,10003137.0,97.1721,0.0,[np.float64(288782.0)],-2.0,[0],0,0,42,0,0,-2,0
Red Bluff Diversion,289862.0,CA10181,,0.0,0.0,0.0,0.0,California,Federal,Irrigation,0.0,0.0,0.0,1963.0,,NID,5143611.6,NID,229.2096,15.8496,-122.202647523,40.1528677028,12068890,10003212.0,22739.5134,0.0,"[np.float64(289396.0), np.float64(289401.0), np.float64(289477.0), np.float64(288992.0), np.float64(289496.0), np.float64(289538.0), np.float64(289398.0), np.float64(289476.0), np.float64(289074.0), np.float64(289400.0), np.float64(31841.0), np.float64(289945.0), np.float64(129065.0), np.float64(288889.0)]",-1.0,[0],0,0,42,0,0,-1,0
Anderson Cottonwood,288889.0,CA00226,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1917.0,,NID,1529515.2,NID,138.684,7.3152,-122.394413826,40.5924289773,2495300,10003615.0,15517.0836,0.0,[np.float64(126894.0)],289862.0,[0],0,0,42,0,0,-1,0
Keswick Dam,126894.0,CA10160,,0.0,1.0,0.0,0.0,California,Federal,Flood Risk Reduction,0.0,0.0,0.0,1949.0,,USBR,29322330.0,USBR,318.8208,47.8536,-122.445960913,40.6122216553,2782765,10003636.0,15460.8984,1.0,"[np.float64(126905.0), np.float64(37922.0)]",288889.0,[0],0,0,42,0,0,-1,0
EelRiver,-143.0,MOUTH_Eel,,0.0,0.0,0.0,0.0,,,,1.0,24.0,0.0,1700.0,0.0,,0.0,,0.0,0.0,-124.159477601,40.558964469,2702627,10003665.0,9292.3614,1.0,"[np.float64(289641.0), np.float64(289910.0), np.float64(289434.0), np.float64(289116.0), np.float64(289431.0), np.float64(289347.0), np.float64(289432.0), np.float64(289348.0), np.float64(980.0), np.float64(288997.0)]",,[10],1,0,42,0,0,0,0
Shasta Dam,37922.0,CA10186,132.0,0.0,1.0,0.0,1.0,California,Federal,Hydroelectric,0.0,0.0,0.0,1945.0,,USBR,5614920338.0,USBR,1054.608,183.4896,-122.419205674,40.7178445461,2782699,10003685.0,15358.9905,1.0,"[np.float64(37461.0), np.float64(37086.0), np.float64(289947.0)]",126894.0,[0],0,0,42,0,0,-1,0
Pit No. 7 Afterbay,289947.0,CA82569,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1965.0,,NID,1233.48,NID,0.0,10.668,-122.016902121,40.8421280033,7951290,10003837.0,11614.7133,0.0,[np.float64(84048.0)],37922.0,[0],0,0,42,0,37922,-1,0
Pit No. 7 Diversion,84048.0,CA00415,129.0,0.0,0.0,0.0,1.0,California,Private,Hydroelectric,0.0,0.0,0.0,1965.0,,NID,42061668.0,NID,276.4536,69.4944,-121.990270321,40.8485350699,7952810,10003863.0,11598.6888,0.0,[np.float64(289007.0)],289947.0,[0],0,0,42,0,37922,-1,0
Pit No. 6 Diversion,289007.0,CA00414,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1965.0,,NID,19612332.0,NID,177.3936,59.436,-121.992873837,40.9224757355,7952786,10003927.0,11270.6856,0.0,"[np.float64(374505.0), np.float64(37087.0), np.float64(289000.0)]",84048.0,[0],0,0,42,0,84048,-1,0
Sack,289927.0,CA10411,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1946.0,,NID,203524.2,NID,30.48,2.7432,-120.500152475,36.9836756763,19784273,10004016.0,8542.566,0.0,[np.float64(289359.0)],-2.0,[0],0,0,42,0,0,-2,0
Mendota Diversion,289359.0,CA00886,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1917.0,,NID,3700440.0,NID,147.828,7.0104,-120.37258095,36.7881015899,19784533,10004037.0,8411.2938,0.0,"[np.float64(37905.0), np.float64(289236.0)]",289927.0,[0],0,0,42,0,0,-2,0
Pit No. 5 Diversion,289000.0,CA00402,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1944.0,,NID,407048.4,NID,103.632,17.6784,-121.869563144,40.9928339146,7952676,10004044.0,10889.1756,0.0,[np.float64(288996.0)],289007.0,[0],0,0,42,0,84048,-1,0
Pit No. 4 Diversion,288996.0,CA00397,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1927.0,,NID,2429955.6,NID,126.492,33.528,-121.768948511,40.9881643028,7952784,10004090.0,10818.5463,0.0,[np.float64(84192.0)],289000.0,[0],0,0,42,0,84048,-1,0
Pit No. 3 Diversion,84192.0,CA00395,127.0,0.0,0.0,0.0,1.0,California,Private,Hydroelectric,0.0,0.0,0.0,1925.0,,NID,51691446.36,NID,150.5712,41.148,-121.675469285,41.0215338878,7949070,10004126.0,10720.3167,0.0,"[np.float64(289478.0), np.float64(289002.0), np.float64(289937.0)]",288996.0,[0],0,0,42,0,84048,-1,0
Pit River Weir,289937.0,CA10429,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1921.0,,NID,61674.0,NID,70.4088,2.4384,-121.435765919,40.9971999486,7951792,10004199.0,9318.1932,0.0,"[np.float64(289409.0), np.float64(289899.0), np.float64(289078.0), np.float64(289420.0), np.float64(289055.0), np.float64(289038.0), np.float64(289938.0), np.float64(289405.0), np.float64(289696.0)]",84192.0,"[8, 0]",0,0,42,0,84192,-1,0
Empire Weir No. 2,289239.0,CA00713,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1938.0,,NID,592070.4,NID,56.388,4.572,-119.833663854,36.1790214557,17154762,10004294.0,5498.9685,0.0,[np.float64(289240.0)],,[2],1,0,0,0,0,0,0
Empire Weir No. 1,289240.0,CA00714,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1906.0,,NID,61674.0,NID,23.4696,5.4864,-119.857775283,36.2387753851,17154282,10004309.0,5316.4611,0.0,[np.float64(288926.0)],289239.0,[0],0,0,0,0,0,0,0
Muck Valley Afterbay,289696.0,CA01352,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1990.0,,NID,518061.6,NID,1889.76,4.572,-121.263114866,40.9797510356,7951762,10004315.0,38.0493,1.0,,289937.0,"[0, 9]",0,1,42,0,84192,-1,0
Stinson Weir,289236.0,CA00710,,0.0,0.0,0.0,0.0,California,Private,Other,0.0,0.0,0.0,1910.0,,NID,61674.0,NID,78.0288,4.2672,-119.993901141,36.4604468032,17152684,10004344.0,177.2721,0.0,[np.float64(288932.0)],289359.0,"[8, 0]",0,0,42,0,0,-2,0
Crescent Weir,288932.0,CA00311,,0.0,0.0,0.0,0.0,California,Private,Other,0.0,0.0,0.0,1933.0,,NID,61674.0,NID,99.6696,4.8768,-119.877237555,36.3859277935,17153452,10004410.0,24.7743,0.0,,289236.0,"[0, 8, 9]",0,1,42,0,0,-2,0
Salinas River Diversion,289790.0,CA01519,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,2009.0,,NID,148017.6,NID,42.672,4.8768,-121.750940777,36.7100721647,8201803,10004527.0,10641.9186,0.0,"[np.float64(289528.0), np.float64(289251.0), np.float64(289252.0), np.float64(289879.0), np.float64(1219.0), np.float64(37401.0), np.float64(37402.0)]",,[10],1,0,42,0,0,0,0
Island Weir,288926.0,CA00303,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1926.0,,NID,283700.4,NID,68.2752,3.9624,-119.789598889,36.3878169882,17158880,10004536.0,4902.5322,0.0,[np.float64(289241.0)],289240.0,[0],0,0,0,0,0,0,0
Iron Gate,37027.0,CA00325,118.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,1962.0,2024.0,Reclamation,72521223.0,Reclamation,0.0,52.986432,-122.435718007,41.9344510121,362919,10004546.0,15132.5838,1.0,"[np.float64(98533.0), np.float64(98100.0), np.float64(37025.0)]",-31.0,[0],0,0,42,0,0,-31,0
Copco No 1,37025.0,CA00323,117.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,1918.0,2024.0,Reclamation,57809507.0,Reclamation,0.0,75.980544,-122.334370118,41.9793871342,362869,10004716.0,14417.3025,1.0,[np.float64(274759.0)],37027.0,[0],0,0,42,37027,37027,-31,0
Lemoore Diversion Weir,289241.0,CA00715,,0.0,0.0,0.0,0.0,California,Private,Other,0.0,0.0,0.0,1924.0,,NID,61674.0,NID,58.5216,6.4008,-119.722940202,36.4181119003,17153120,10004811.0,4897.0854,0.0,"[np.float64(289242.0), np.float64(288925.0)]",288926.0,"[8, 0]",0,0,0,0,0,0,0
Gerig,289405.0,CA00941,,0.0,0.0,0.0,0.0,California,Private,Water Supply,0.0,0.0,0.0,1939.0,,NID,135682.8,NID,22.5552,3.048,-121.148983097,41.1543627559,7925649,10004875.0,5341.1193,0.0,"[np.float64(289412.0), np.float64(289416.0), np.float64(289418.0), np.float64(289410.0), np.float64(289408.0), np.float64(289060.0)]",289937.0,[0],0,0,42,0,84192,-1,0
Reynolds Weir,288925.0,CA00302,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1928.0,,NID,320704.8,NID,39.624,3.9624,-119.670417826,36.4343018193,17153010,10004884.0,152.9496,0.0,,289241.0,"[0, 9]",0,1,0,0,0,0,0
Last Chance Weir,289242.0,CA00716,,0.0,0.0,0.0,0.0,California,Private,Other,0.0,0.0,0.0,1919.0,,NID,61674.0,NID,43.5864,7.3152,-119.667297709,36.4200732575,17153128,10004935.0,4740.759,0.0,[np.float64(288924.0)],289241.0,"[0, 8]",0,0,0,0,0,0,0
Lookout,289060.0,CA00489,,0.0,0.0,0.0,0.0,California,Private,Other,0.0,0.0,0.0,1930.0,,NID,530396.4,NID,21.336,3.3528,-121.146144953,41.2090635593,7925397,10005023.0,4177.2213,0.0,"[np.float64(289788.0), np.float64(289827.0), np.float64(289046.0), np.float64(289053.0), np.float64(289051.0), np.float64(289062.0), np.float64(289036.0), np.float64(289736.0), np.float64(289054.0), np.float64(289056.0), np.float64(289065.0), np.float64(289035.0)]",289405.0,[0],0,0,42,0,84192,-1,0
Peoples Weir,288924.0,CA00301,,0.0,0.0,0.0,0.0,California,Private,Other,0.0,0.0,0.0,1936.0,,NID,148017.6,NID,161.544,7.0104,-119.536706698,36.4855078157,17159318,10005076.0,4713.5475,0.0,[np.float64(1209.0)],289242.0,[0],0,0,0,0,0,0,0
Fish Barrier,288783.0,CA00034,,0.0,0.0,0.0,0.0,California,State,Water Supply,0.0,0.0,0.0,1964.0,,NID,715418.4,NID,182.88,27.7368,-121.547437322,39.5205576053,7968461,10005098.0,9360.7353,0.0,[np.float64(288784.0)],-1.0,[0],0,0,42,0,0,-1,0
Thermalito Diversion,288784.0,CA00036,,0.0,0.0,0.0,0.0,California,State,Water Supply,0.0,0.0,0.0,1967.0,,NID,16439821.44,NID,396.24,43.5864,-121.545163944,39.5293424498,7978087,10005142.0,9356.3316,0.0,[np.float64(84534.0)],288783.0,[0],0,0,42,0,0,-1,0
John C Boyle,274759.0,OR00559,,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1958.0,2024.0,Reclamation,4311013.0,Reclamation,0.0,20.7210940416,-122.048077998,42.1228124576,358837,10005218.0,13784.8995,1.0,[np.float64(274758.0)],37025.0,[0],0,0,42,37025,37025,-31,0
Oroville,84534.0,CA00035,148.0,0.0,0.0,1.0,1.0,California,State,Flood Risk Reduction,0.0,0.0,0.0,1968.0,,USACE,4366525705.0,USACE,2109.216,234.696,-121.492202961,39.542868942,7968453,10005284.0,9313.2783,1.0,"[np.float64(288781.0), np.float64(289094.0), np.float64(288956.0), np.float64(289895.0), np.float64(289095.0), np.float64(289943.0), np.float64(289301.0), np.float64(288916.0), np.float64(289093.0), np.float64(36852.0), np.float64(288914.0), np.float64(289935.0)]",288784.0,[0],0,0,42,0,0,-1,0
Haiwee,36878.0,CA00082,607.0,0.0,0.0,0.0,1.0,California,Local Government,Water Supply,0.0,0.0,0.0,1913.0,,NID,74748888.0,NID,473.964,24.6888,-117.948627069,36.1369876896,20270239,10005376.0,1466.3376,0.0,,,"[2, 9]",1,1,0,0,0,0,0
Rio Bravo Diversion,289825.0,CA01595,,0.0,0.0,0.0,0.0,California,Public Utility,Hydroelectric,0.0,0.0,0.0,1989.0,,NID,77709.24,NID,91.44,8.5344,-118.803187462,35.4391565648,14946890,10005407.0,5567.013,0.0,[np.float64(289017.0)],,[2],1,0,0,0,0,0,0
Keno Dam,274758.0,OR00558,,0.0,1.0,0.0,0.0,Oregon,Federal,Hydroelectric,0.0,0.0,0.0,1967.0,,USBR,22097827.0,USBR,220.3704,12.4968,-121.948697371,42.134681711,2553639,10005469.0,13445.4555,1.0,"[np.float64(349717.0), np.float64(349514.0), np.float64(349904.0), np.float64(187061.0), np.float64(98536.0), np.float64(187063.0), np.float64(187062.0), np.float64(84290.0)]",274759.0,[0],0,0,42,274759,37025,-31,0
Goodwin,288906.0,CA00260,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1912.0,,NID,616740.0,NID,140.208,30.7848,-120.62990719,37.8630730746,349891,10005593.0,2539.7982,0.0,[np.float64(36987.0)],-2.0,[0],0,0,42,0,0,-2,0
Tulloch,36987.0,CA00265,204.0,0.0,0.0,1.0,1.0,California,Public Utility,Hydroelectric,0.0,0.0,0.0,1958.0,,USACE,84370157.69,USACE,583.3872,62.484,-120.604739136,37.8762617713,349887,10005654.0,2536.7517,1.0,"[np.float64(1109.0), np.float64(37942.0)]",288906.0,[0],0,0,42,0,0,-2,0
Cache Creek Settling Basin,289693.0,CA01348,,0.0,0.0,0.0,0.0,California,State,Debris Control,0.0,0.0,0.0,1993.0,,NID,4687224.0,NID,12217.2984,8.8392,-121.673505283,38.6775147723,948020657,10005721.0,3000.3993,0.0,"[np.float64(289110.0), np.float64(289613.0), np.float64(289109.0), np.float64(289124.0), np.float64(37629.0), np.float64(289378.0)]",-1.0,[0],0,0,42,0,0,-1,0
Kern Diversion,289017.0,CA00429,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1906.0,,NID,304669.56,NID,62.038992,8.8392,-118.674921897,35.5254095969,14940950,10005810.0,5458.8303,0.0,[np.float64(1207.0)],289825.0,[0],0,0,0,0,0,0,0
New Melones Dam,37942.0,CA10246,198.0,0.0,1.0,0.0,1.0,California,Federal,Hydroelectric,0.0,0.0,0.0,1979.0,,USBR,2960356410.0,USBR,475.488,190.5,-120.526333513,37.9477521383,348435,10005932.0,2342.934,1.0,"[np.float64(289650.0), np.float64(289005.0), np.float64(289013.0), np.float64(971.0), np.float64(289639.0), np.float64(289637.0), np.float64(288908.0)]",36987.0,[0],0,0,42,0,36987,-2,0
Link River Diversion Dam,84290.0,OR00557,110.0,0.0,1.0,0.0,1.0,Oregon,Federal,Hydroelectric,0.0,0.0,0.0,1921.0,,USBR,729614375.0,USBR,132.588,6.7056,-121.807177951,42.2393962218,24091906,10006160.0,8843.9499,1.0,"[np.float64(349843.0), np.float64(349329.0), np.float64(349609.0), np.float64(349469.0), np.float64(98093.0), np.float64(349436.0), np.float64(349319.0)]",274758.0,[0],0,0,42,274759,37025,-31,0
Nimbus Dam,126901.0,CA10174,,0.0,1.0,0.0,0.0,California,Federal,Fish and Wildlife Pond,0.0,0.0,0.0,1955.0,,USBR,10805301.0,USBR,333.1464,26.5176,-121.219984415,38.6371668304,15024897,10006209.0,4922.6625,1.0,[np.float64(31836.0)],-1.0,[0],0,0,42,0,0,-1,0
Folsom Dam,31836.0,CA10148,182.0,1.0,1.0,0.0,1.0,California,Federal,Hydroelectric,0.0,0.0,0.0,1956.0,0.0,USBR,1246100375.0,USBR,426.72,103.632,-121.156799155,38.7079069739,14996713,10006481.0,4825.3725,1.0,"[np.float64(289456.0), np.float64(289490.0), np.float64(288893.0), np.float64(289493.0), np.float64(289558.0), np.float64(289154.0), np.float64(289491.0), np.float64(288890.0), np.float64(289426.0), np.float64(289454.0), np.float64(289508.0), np.float64(289339.0), np.float64(289008.0), np.float64(289837.0)]",126901.0,[0],0,0,42,0,0,-1,0
Crocker Diversion,288895.0,CA00239,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,1910.0,,NID,370044.0,NID,220.98,6.7056,-120.3711742,37.5141867292,24701496,10006573.0,2778.1866,1.0,[np.float64(288953.0)],-2.0,[0],0,0,42,0,0,-2,0
Isabella Dam,1207.0,CA10106,612.0,1.0,0.0,1.0,1.0,California,Federal,Flood Risk Reduction,0.0,0.0,0.0,1953.0,0.0,USACE,1039849543.0,USACE,516.636,56.388,-118.481462925,35.6464637327,14972947,10006697.0,4972.6008,1.0,,289017.0,"[0, 9]",0,1,0,0,0,0,0
Merced Falls,288953.0,CA00341,,0.0,0.0,0.0,0.0,California,Public Utility,Hydroelectric,0.0,0.0,0.0,1901.0,,NID,836299.44,NID,511.7592,13.1064,-120.329439124,37.5224920751,21618155,10006791.0,2748.9636,0.0,[np.float64(36969.0)],288895.0,[0],0,0,42,0,0,-2,0
Tinemaha,36880.0,CA00084,594.0,0.0,0.0,0.0,1.0,California,Local Government,Other,0.0,0.0,0.0,1928.0,,NID,20235239.4,NID,1767.84,9.7536,-118.219762184,37.0446588547,20265515,10006872.0,4557.7368,0.0,"[np.float64(289028.0), np.float64(288802.0), np.float64(37108.0), np.float64(289029.0), np.float64(288817.0)]",,[2],1,0,0,0,0,0,0
Prado Dam,1202.0,CA10022,,1.0,0.0,1.0,0.0,California,Federal,Flood Risk Reduction,0.0,0.0,0.0,1941.0,0.0,USACE,274869093.0,USACE,694.944,32.3088,-117.645113341,33.890249305,22563116,10006961.0,5680.5336,1.0,"[np.float64(288935.0), np.float64(289606.0), np.float64(289266.0), np.float64(289529.0), np.float64(289944.0), np.float64(289605.0), np.float64(289296.0), np.float64(289581.0), np.float64(289809.0), np.float64(288844.0), np.float64(289710.0), np.float64(289295.0), np.float64(289548.0), np.float64(289294.0), np.float64(289271.0), np.float64(289706.0), np.float64(289293.0), np.float64(289297.0), np.float64(288927.0), np.float64(289778.0), np.float64(944.0), np.float64(289619.0), np.float64(289273.0), np.float64(36949.0), np.float64(289783.0), np.float64(289812.0), np.float64(289272.0)]",,[10],1,0,42,0,0,0,0
Mcswain,36969.0,CA00242,218.0,0.0,0.0,0.0,1.0,California,Public Utility,Hydroelectric,0.0,0.0,0.0,1966.0,,NID,12001760.4,NID,493.776,29.5656,-120.310896522,37.5195083261,21608717,10007074.0,2728.143,0.0,[np.float64(31852.0)],288953.0,[0],0,0,42,0,0,-2,0
Big Bend,289935.0,CA10427,,0.0,0.0,0.0,0.0,California,Private,,0.0,0.0,0.0,0.0,,,1233480.0,NID,112.776,18.5928,-121.466305238,39.7131159691,2776622,10007208.0,5087.2149,0.0,[np.float64(288942.0)],84534.0,[0],0,0,42,0,84534,-1,0
Russian River No. 1,289333.0,CA00849,,0.0,0.0,0.0,0.0,California,Public Utility,Water Supply,0.0,0.0,0.0,1963.0,,NID,388546.2,NID,111.252,3.048,-123.010986168,38.483620711,8272929,10007280.0,3551.8527,0.0,"[np.float64(289598.0), np.float64(289718.0), np.float64(289489.0), np.float64(289486.0), np.float64(289445.0), np.float64(289504.0), np.float64(289742.0), np.float64(289674.0), np.float64(289450.0), np.float64(289530.0), np.float64(289648.0), np.float64(37948.0), np.float64(289288.0)]",,[10],1,0,42,0,0,0,0
Black Butte Dam,31856.0,CA10102,144.0,1.0,0.0,1.0,1.0,California,Federal,Flood Risk Reduction,0.0,0.0,0.0,1963.0,0.0,USACE,256125103.0,USACE,905.256,47.5488,-122.340225735,39.8181632801,7992981,10007361.0,1917.0459,1.0,"[np.float64(289113.0), np.float64(289089.0), np.float64(289112.0), np.float64(289111.0), np.float64(1217.0)]",-1.0,[0],0,0,42,0,0,-1,0
New Woodbridge Diversion,289761.0,CA01461,,0.0,0.0,0.0,0.0,California,Public Utility,Other,0.0,0.0,0.0,2006.0,,NID,1952598.84,NID,182.88,9.4488,-121.297629989,38.1562290074,3953577,10007365.0,1684.2969,0.0,[np.float64(36931.0)],-2.0,[0],0,0,42,0,0,-2,0
Exchequer Main,31852.0,CA00240,214.0,1.0,0.0,0.0,1.0,California,Public Utility,Hydroelectric,0.0,0.0,0.0,1926.0,0.0,"RESSED, https://water.usgs.gov/osw/ressed/",356475720.0,"RESSED, https://water.usgs.gov/osw/ressed/",371.856,149.352,-120.269837078,37.5856685808,21608661,10007413.0,2685.5937,1.0,"[np.float64(289227.0), np.float64(289230.0), np.float64(289228.0)]",36969.0,[0],0,0,42,0,36969,-2,0
Twitchell Dam,1218.0,CA10197,,1.0,1.0,0.0,0.0,California,Federal,Flood Risk Reduction,0.0,0.0,0.0,1958.0,0.0,USBR,296175029.0,USBR,549.8592,73.4568,-120.324714899,34.9853669512,17635380,10007418.0,2810.6514,1.0,,,"[10, 9]",1,1,42,0,0,0,0
Poe,288942.0,CA00328,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1958.0,,NID,1485109.92,NID,130.1496,24.384,-121.431827589,39.8097308049,2776474,10007447.0,5027.7924,0.0,"[np.float64(288946.0), np.float64(288943.0)]",289935.0,[0],0,0,42,0,84534,-1,0
Friant Dam,37905.0,CA10154,595.0,0.0,1.0,0.0,1.0,California,Federal,Flood Risk Reduction,0.0,0.0,0.0,1941.0,,USBR,642027296.0,USBR,1063.1424,97.2312,-119.705223056,37.0007992578,19778327,10007624.0,4220.6247,1.0,[np.float64(288952.0)],289359.0,[0],0,0,42,0,0,-2,0
Cresta,288943.0,CA00329,,0.0,0.0,0.0,0.0,California,Private,Hydroelectric,0.0,0.0,0.0,1949.0,,NID,5106607.2,NID,115.2144,34.4424,-121.373651067,39.8760198209,2775594,10007735.0,4867.2747,0.0,"[np.float64(288947.0), np.float64(288945.0), np.float64(288944.0)]",288942.0,[0],0,0,42,0,84534,-1,0
Camanche Main,36931.0,CA00173,191.0,0.0,0.0,1.0,1.0,California,Public Utility,Water Supply,0.0,0.0,0.0,1963.0,,USACE,514361926.2,USACE,762.0,52.1208,-121.022016376,38.2261165794,3953573,10007824.0,1603.1961,1.0,[np.float64(917.0)],289761.0,[0],0,0,42,0,0,-2,0
Bradbury Dam,31837.0,CA10136,620.0,1.0,1.0,0.0,1.0,California,Federal,Irrigation,0.0,0.0,0.0,1953.0,0.0,USBR,252708362.0,USBR,1021.08,85.0392,-119.980329158,34.5828078911,17611491,10008255.0,1081.3455,1.0,[np.float64(913.0)],,[10],1,0,42,0,0,0,0
Jackson Creek,37448.0,CA00867,189.0,0.0,0.0,0.0,1.0,California,Local Government,Irrigation,0.0,0.0,0.0,1965.0,,NID,29603520.0,NID,320.04,58.8264,-120.888815826,38.3036688143,17058304,10008364.0,158.301,0.0,,-2.0,"[0, 9]",0,1,42,0,0,-2,0
Healdsburg Recreation,289288.0,CA00791,,0.0,0.0,0.0,0.0,California,Local Government,Water Supply,0.0,0.0,0.0,1953.0,,NID,339207.0,NID,100.584,4.572,-122.859827668,38.6024148373,8272379,10008375.0,2058.3054,0.0,"[np.float64(289734.0), np.float64(289642.0), np.float64(289918.0), np.float64(289503.0), np.float64(289141.0), np.float64(288765.0), np.float64(289433.0), np.float64(289520.0), np.float64(1034.0), np.float64(289704.0), np.float64(289114.0), np.float64(31863.0)]",289333.0,[0],0,0,42,0,0,0,0
La Grange,288917.0,CA00278,,0.0,0.0,0.0,0.0,California,Public Utility,,0.0,0.0,0.0,1893.0,,NID,616740.0,NID,94.488,39.9288,-120.44450079,37.6722544082,17080387,10008463.0,3981.9699,0.0,[np.float64(31851.0)],-2.0,[0],0,0,42,0,0,-2,0
